CodeFormat;CodeVariante;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
mitKommentar;NestedLoops;1;2;6;false;49859;
ohneKommentar;BoolLogik;1;1;2;false;36698;
mitKommentar;NestedLoops;1;6;9;false;18298;
mitKommentar;NestedLoops;1;1;1;true;10846;
mitKommentar;Rekursion;1;3;6;false;137009;
ohneKommentar;Rekursion;1;5;3;false;116102;
ohneKommentar;BoolLogik;1;1;0;false;55215;
ohneKommentar;Rekursion;1;2;4;false;72742;
ohneKommentar;BoolLogik;1;1;0;false;11718;
ohneKommentar;NestedLoops;1;1;1;true;13585;
mitKommentar;BoolLogik;1;1;0;false;18015;
ohneKommentar;Rekursion;1;5;7;false;102400;
mitKommentar;BoolLogik;1;1;1;true;13632;
ohneKommentar;NestedLoops;1;6;9;false;46947;
mitKommentar;Rekursion;1;5;8;false;57626;
ohneKommentar;NestedLoops;1;4;4;true;38791;
mitKommentar;BoolLogik;1;0;0;true;5867;
mitKommentar;Rekursion;1;3;8;false;42503;
