CodeFormat;expected_answer;given_answer;is_correct;time_in_milliseconds;
mitKommentar;6;6;true;4234;
mitKommentar;1;1;true;2508;
ohneKommentar;6;6;true;17060;
mitKommentar;7;7;true;6880;
ohneKommentar;9;9;true;5879;
ohneKommentar;1;1;true;3963;
ohneKommentar;1;1;true;1852;
mitKommentar;0;0;true;2543;
mitKommentar;0;0;true;2728;
ohneKommentar;6;6;true;19585;
