CodeFormat;expected_answer;given_answer;is_correct;time_in_milliseconds;
mitKommentar;4;2;false;23005;
ohneKommentar;3;3;true;60895;
mitKommentar;0;0;true;10306;
ohneKommentar;2;8;false;26601;
mitKommentar;3;1;false;28861;
mitKommentar;9;9;true;18782;
ohneKommentar;2;0;false;21719;
mitKommentar;9;9;true;18931;
ohneKommentar;6;6;true;29122;
ohneKommentar;6;4;false;10584;
